extname,extversion,schema_name
pg_graphql,1.5.11,graphql
pg_stat_statements,1.11,extensions
pgcrypto,1.3,extensions
plpgsql,1.0,pg_catalog
supabase_vault,0.3.1,vault
uuid-ossp,1.1,extensions
